Date,country_region,retail_recreation_change,grocery_pharmacy_change,parks_change,transit_change,workplaces_change,residential_change,mobility_drop_retail,mobility_drop_transit,mobility_drop_workplace,residential_increase,grocery_spike,severe_lockdown_behavior,partial_restrictions,num_posts,avg_compound,neg_fraction,pos_fraction,high_negative_sentiment,high_positive_sentiment,sentiment_shift_detected,sentiment_improved,sentiment_worsened,sentiment_volatility,fear_keywords_present,anger_mentioned,sadness_keywords_present,anxiety_keywords_present,dominant_emotion_fear,dominant_emotion,mixed_emotions,covid_topic_detected,lockdown_mentioned,vaccine_mentioned,health_concern,compliance_discussed,policy_governance_discussion,solidarity_messages,weekend,emotion_with_mobility_signal,emotion_mobility_mismatch,calm_mobile_baseline,dominant_emotion_fear_lag1,dominant_emotion_fear_lag3,dominant_emotion_fear_lag7,high_negative_sentiment_lag1,high_negative_sentiment_lag3,high_negative_sentiment_lag7,high_positive_sentiment_lag1,high_positive_sentiment_lag3,high_positive_sentiment_lag7,solidarity_messages_lag1,solidarity_messages_lag3,solidarity_messages_lag7,compliance_discussed_lag1,compliance_discussed_lag3,compliance_discussed_lag7,health_concern_lag1,health_concern_lag3,health_concern_lag7,sentiment_shift_detected_lag1,sentiment_shift_detected_lag3,sentiment_shift_detected_lag7,sentiment_worsened_lag1,sentiment_worsened_lag3,sentiment_worsened_lag7,sentiment_improved_lag1,sentiment_improved_lag3,sentiment_improved_lag7,lockdown_mentioned_lag1,lockdown_mentioned_lag3,lockdown_mentioned_lag7,vaccine_mentioned_lag1,vaccine_mentioned_lag3,vaccine_mentioned_lag7,policy_governance_discussion_lag1,policy_governance_discussion_lag3,policy_governance_discussion_lag7,fear_keywords_present_lag1,fear_keywords_present_lag3,fear_keywords_present_lag7,anxiety_keywords_present_lag1,anxiety_keywords_present_lag3,anxiety_keywords_present_lag7,grocery_spike_lead2,grocery_spike_lead7,mobility_drop_retail_lead2,mobility_drop_retail_lead7,mobility_drop_transit_lead2,mobility_drop_transit_lead7,mobility_drop_workplace_lead2,mobility_drop_workplace_lead7,residential_increase_lead2,residential_increase_lead7,severe_lockdown_behavior_lead2,severe_lockdown_behavior_lead7,partial_restrictions_lead2,partial_restrictions_lead7,sentiment_shift_detected_lead2,sentiment_shift_detected_lead7,sentiment_worsened_lead2,sentiment_worsened_lead7,sentiment_improved_lead2,sentiment_improved_lead7,high_negative_sentiment_lead2,high_negative_sentiment_lead7,high_positive_sentiment_lead2,high_positive_sentiment_lead7,solidarity_messages_lead2,solidarity_messages_lead7,compliance_discussed_lead2,compliance_discussed_lead7,vaccine_mentioned_lead2,vaccine_mentioned_lead7,health_concern_lead2,health_concern_lead7
2020-03-18,United Arab Emirates,-19.0,2.0,-19.0,-25.0,-11.0,9.0,0,0,0,1,0,0,0,4.0,-0.15475,0.25,0.0,0.0,0.0,1.0,0.0,1.0,0.2208121882958456,0.0,0.0,0.0,0.0,1.0,fear,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1
2020-03-19,United Arab Emirates,-24.0,-1.0,-26.0,-31.0,-12.0,11.0,0,1,0,1,0,0,1,6.0,0.3688499999999999,0.0,0.6666666666666666,0.0,1.0,1.0,1.0,0.0,0.4637754799828611,0.0,0.0,0.0,1.0,0.0,anxiety,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2020-03-20,United Arab Emirates,-37.0,-11.0,-45.0,-44.0,-12.0,11.0,1,1,0,1,0,0,1,5.0,-0.2191,0.6,0.2,0.0,0.0,1.0,0.0,1.0,0.5895006904152021,0.0,1.0,1.0,1.0,0.0,anger,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
2020-03-21,United Arab Emirates,-32.0,-12.0,-37.0,-42.0,-8.0,10.0,1,1,0,1,0,0,1,8.0,0.17125,0.0,0.25,0.0,0.0,1.0,1.0,0.0,0.3000454132293976,0.0,0.0,0.0,0.0,1.0,fear,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1
2020-03-22,United Arab Emirates,-30.0,-13.0,-36.0,-45.0,-17.0,13.0,1,1,0,1,0,0,1,4.0,0.2201,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.3246492491905687,0.0,0.0,0.0,0.0,1.0,fear,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1
2020-03-23,United Arab Emirates,-27.0,14.0,-38.0,-46.0,-20.0,14.0,1,1,0,1,1,0,1,10.0,0.09505,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.4950927675698767,0.0,0.0,0.0,0.0,1.0,fear,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1
2020-03-24,United Arab Emirates,-39.0,-6.0,-43.0,-53.0,-28.0,17.0,1,1,1,1,0,1,0,7.0,0.0988857142857142,0.1428571428571428,0.4285714285714285,0.0,0.0,0.0,0.0,0.0,0.4977097129525874,0.0,0.0,0.0,0.0,1.0,fear,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
2020-03-25,United Arab Emirates,-50.0,-18.0,-47.0,-60.0,-35.0,21.0,1,1,1,1,0,1,0,14.0,0.0610071428571428,0.3571428571428571,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.5466967224865639,0.0,0.0,0.0,0.0,1.0,fear,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1
2020-03-26,United Arab Emirates,-55.0,-13.0,-54.0,-67.0,-40.0,25.0,1,1,1,1,0,1,0,4.0,-0.496625,0.75,0.0,1.0,0.0,1.0,0.0,1.0,0.300039317215261,0.0,1.0,0.0,0.0,0.0,anger,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1
2020-03-27,United Arab Emirates,-80.0,-60.0,-80.0,-84.0,-52.0,25.0,1,1,1,1,0,1,0,6.0,-0.1641666666666666,0.3333333333333333,0.1666666666666666,0.0,0.0,1.0,1.0,0.0,0.4870576888031049,0.0,0.0,0.0,0.0,1.0,fear,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0
