premise,conclusion,support,support_pct,confidence,lift,leverage,cross_domain
mobility_drop_retail,mobility_drop_retail_lead2,141,21.461187214611872,85.1063829787234,3.965595291987325,0.136590146160422,False
mobility_drop_retail,mobility_drop_retail_lead7,141,21.461187214611872,91.48936170212765,4.263014938886374,0.1502887762974083,False
mobility_drop_workplace,mobility_drop_workplace_lead2,107,16.28614916286149,79.43925233644859,4.87771857804175,0.10285208583826211,False
residential_increase,residential_increase_lead2,289,43.987823439878234,83.39100346020761,1.895774715341052,0.17332601257039865,False
residential_increase,residential_increase_lead7,289,43.987823439878234,87.88927335640139,1.9980364219777065,0.19311292276826775,False
grocery_spike,calm_mobile_baseline,279,42.465753424657535,77.41935483870968,2.0025400050800104,0.16459206438564666,False
grocery_spike,grocery_spike_lead2,279,42.465753424657535,92.47311827956989,2.162093904258983,0.21106732553533078,False
grocery_spike,grocery_spike_lead7,279,42.465753424657535,94.98207885304659,2.181930972253553,0.21849002314380433,False
severe_lockdown_behavior,severe_lockdown_behavior_lead2,87,13.24200913242009,90.80459770114942,6.857312722948871,0.1027084506161256,False
severe_lockdown_behavior,severe_lockdown_behavior_lead7,87,13.24200913242009,91.95402298850574,6.944114149821641,0.1042305206313463,False
partial_restrictions,partial_restrictions_lead2,279,42.465753424657535,82.79569892473118,1.949705168227541,0.17126415212360044,False
partial_restrictions,partial_restrictions_lead7,279,42.465753424657535,86.73835125448028,2.042548271476471,0.18800692229102814,False
calm_mobile_baseline,grocery_spike,254,38.660578386605785,85.03937007874016,2.0025400050800104,0.16459206438564666,False
calm_mobile_baseline,grocery_spike_lead2,254,38.660578386605785,83.46456692913385,1.9514669207274358,0.15732690218209702,False
calm_mobile_baseline,grocery_spike_lead7,254,38.660578386605785,85.03937007874016,1.9535267881724576,0.16047297688631273,False
grocery_spike_lead2,grocery_spike,281,42.77016742770167,91.81494661921708,2.1620939042589833,0.21106732553533078,False
grocery_spike_lead2,calm_mobile_baseline,281,42.77016742770167,75.44483985765125,1.951466920727436,0.15732690218209702,False
grocery_spike_lead2,grocery_spike_lead7,281,42.77016742770167,92.17081850533808,2.11735062090934,0.20803245229341433,False
grocery_spike_lead7,grocery_spike,286,43.531202435312025,92.65734265734265,2.181930972253553,0.21849002314380433,False
grocery_spike_lead7,calm_mobile_baseline,286,43.531202435312025,75.52447552447552,1.9535267881724574,0.16047297688631273,False
grocery_spike_lead7,grocery_spike_lead2,286,43.531202435312025,90.55944055944056,2.11735062090934,0.20803245229341433,False
mobility_drop_retail_lead2,mobility_drop_retail,141,21.461187214611872,85.1063829787234,3.965595291987325,0.136590146160422,False
mobility_drop_retail_lead2,mobility_drop_retail_lead7,141,21.461187214611872,82.26950354609929,3.8334087822544136,0.1305018660995392,False
mobility_drop_retail_lead7,mobility_drop_retail,141,21.461187214611872,91.48936170212765,4.263014938886374,0.1502887762974083,False
mobility_drop_retail_lead7,mobility_drop_retail_lead2,141,21.461187214611872,82.26950354609929,3.8334087822544136,0.1305018660995392,False
mobility_drop_workplace_lead2,mobility_drop_workplace,107,16.28614916286149,79.43925233644859,4.87771857804175,0.10285208583826211,False
residential_increase_lead2,residential_increase,289,43.987823439878234,83.39100346020761,1.895774715341052,0.17332601257039865,False
residential_increase_lead2,residential_increase_lead7,289,43.987823439878234,79.58477508650519,1.8092455789561908,0.15658324240297095,False
residential_increase_lead7,residential_increase,289,43.987823439878234,87.88927335640139,1.9980364219777065,0.19311292276826775,False
residential_increase_lead7,residential_increase_lead2,289,43.987823439878234,79.58477508650519,1.8092455789561908,0.15658324240297095,False
severe_lockdown_behavior_lead2,severe_lockdown_behavior,87,13.24200913242009,90.80459770114942,6.857312722948871,0.1027084506161256,False
severe_lockdown_behavior_lead2,severe_lockdown_behavior_lead7,87,13.24200913242009,88.50574712643679,6.68370986920333,0.0996643105856842,False
severe_lockdown_behavior_lead7,severe_lockdown_behavior,87,13.24200913242009,91.95402298850574,6.944114149821641,0.1042305206313463,False
severe_lockdown_behavior_lead7,severe_lockdown_behavior_lead2,87,13.24200913242009,88.50574712643679,6.68370986920333,0.0996643105856842,False
partial_restrictions_lead2,partial_restrictions,279,42.465753424657535,82.79569892473118,1.949705168227541,0.17126415212360044,False
partial_restrictions_lead2,partial_restrictions_lead7,279,42.465753424657535,80.28673835125448,1.8906231934327669,0.16060966201705554,False
partial_restrictions_lead7,partial_restrictions,279,42.465753424657535,86.73835125448028,2.042548271476471,0.18800692229102814,False
partial_restrictions_lead7,partial_restrictions_lead2,279,42.465753424657535,80.28673835125448,1.8906231934327669,0.16060966201705554,False
"mobility_drop_retail, mobility_drop_workplace",mobility_drop_workplace_lead2,87,13.24200913242009,90.80459770114942,5.575572027070577,0.09867739760777854,False
"mobility_drop_retail, mobility_drop_workplace",mobility_drop_workplace_lead7,87,13.24200913242009,91.95402298850574,5.646148888172736,0.10019946762299924,False
"mobility_drop_retail, residential_increase",mobility_drop_retail_lead2,137,20.85235920852359,87.59124087591242,4.08137909613294,0.13789676334243794,False
"mobility_drop_retail, residential_increase",mobility_drop_retail_lead7,137,20.85235920852359,92.7007299270073,4.319459543407362,0.14855125344898285,False
"mobility_drop_retail, sentiment_shift_detected",mobility_drop_retail_lead2,87,13.24200913242009,83.9080459770115,3.90975788701394,0.08269218740226433,True
"mobility_drop_retail, sentiment_shift_detected",mobility_drop_retail_lead7,87,13.24200913242009,89.65517241379311,4.177549523110786,0.09030253747836783,True
"mobility_drop_retail, dominant_emotion_fear",mobility_drop_retail_lead2,124,18.87366818873668,83.06451612903226,3.8704529855868226,0.11626807892523786,True
"mobility_drop_retail, dominant_emotion_fear",mobility_drop_retail_lead7,124,18.87366818873668,91.93548387096774,4.283802333562114,0.13301084909266556,True
"mobility_drop_retail, covid_topic_detected",mobility_drop_retail_lead2,134,20.395738203957382,85.07462686567165,3.964115592251509,0.12974430613762572,True
"mobility_drop_retail, covid_topic_detected",mobility_drop_retail_lead7,134,20.395738203957382,91.04477611940298,4.2422991425849474,0.14192086625939132,True
"mobility_drop_retail, lockdown_mentioned",mobility_drop_workplace,80,12.1765601217656,77.5,4.758644859813084,0.07453741350032086,True
"mobility_drop_retail, lockdown_mentioned",mobility_drop_retail_lead2,80,12.1765601217656,93.75,4.368351063829787,0.08802290750123364,True
"mobility_drop_retail, lockdown_mentioned",mobility_drop_retail_lead7,80,12.1765601217656,97.5,4.5430851063829785,0.09258911754689574,True
"mobility_drop_retail, lockdown_mentioned",mobility_drop_workplace_lead2,80,12.1765601217656,76.25,4.681892523364486,0.07301534348510016,True
"mobility_drop_retail, lockdown_mentioned",mobility_drop_workplace_lead7,80,12.1765601217656,77.5,4.758644859813084,0.07453741350032086,True
"mobility_drop_retail, health_concern",mobility_drop_retail_lead2,91,13.850837138508371,85.71428571428571,3.9939209726443767,0.0889959202963519,True
"mobility_drop_retail, health_concern",mobility_drop_retail_lead7,91,13.850837138508371,92.3076923076923,4.301145662847791,0.0981283403876761,True
"mobility_drop_retail, solidarity_messages",mobility_drop_retail_lead2,86,13.08980213089802,86.04651162790698,4.009401286491836,0.08454091171298903,True
"mobility_drop_retail, solidarity_messages",mobility_drop_retail_lead7,86,13.08980213089802,89.53488372093024,4.171944581890154,0.08910712175865113,True
"mobility_drop_retail, dominant_emotion_fear_lag1",mobility_drop_retail_lead2,122,18.56925418569254,85.24590163934425,3.9720962678758283,0.11844345753146654,True
