premise,conclusion,support,support_pct,confidence,lift,leverage,cross_domain,conviction
"grocery_spike, high_positive_sentiment",calm_mobile_baseline,103,15.350223546944857,85.43689320388349,2.155193809767136,0.07029568608811726,True,4.144560357675111
"vaccine_mentioned, calm_mobile_baseline",grocery_spike,159,23.69597615499255,88.0503144654088,2.0657958393807454,0.10764457257335515,True,4.801553062985333
"high_positive_sentiment, calm_mobile_baseline",grocery_spike,101,15.052160953800298,87.12871287128714,2.0441736481340445,0.06699078937724465,True,4.4577553593947075
"grocery_spike, vaccine_mentioned",calm_mobile_baseline,176,26.229508196721312,79.54545454545455,2.006578947368421,0.10466394664190955,True,2.9508196721311473
"grocery_spike, dominant_emotion_fear",calm_mobile_baseline,233,34.724292101341284,79.39914163090128,2.0028881215915324,0.13805273175921337,True,2.92986214605067
"grocery_spike, sentiment_improved",calm_mobile_baseline,82,12.220566318926975,79.26829268292683,1.9995873830918762,0.04842517673867995,True,2.9113702112737787
"grocery_spike, solidarity_messages",calm_mobile_baseline,102,15.201192250372578,78.43137254901961,1.9784756007666224,0.058963977070058037,True,2.7984013006367716
"grocery_spike, sentiment_improved",high_positive_sentiment,82,12.220566318926975,75.60975609756098,1.9664397806768765,0.045411235316197326,True,2.5235469448584205
"dominant_emotion_fear, calm_mobile_baseline",grocery_spike,222,33.084947839046194,83.33333333333334,1.9551282051282053,0.13469008819720993,True,3.442622950819675
"residential_increase, sentiment_improved",high_positive_sentiment,92,13.710879284649776,75.0,1.9505813953488371,0.05011316161788908,True,2.461997019374069
"sentiment_shift_detected, calm_mobile_baseline",grocery_spike,145,21.609538002980628,82.75862068965517,1.9416445623342176,0.08673132833304831,True,3.327868852459016
"grocery_spike, covid_topic_detected",calm_mobile_baseline,220,32.78688524590164,75.45454545454545,1.9033834586466165,0.11741711661088172,True,2.459016393442623
"covid_topic_detected, calm_mobile_baseline",grocery_spike,205,30.55141579731744,80.97560975609757,1.8998123827392122,0.11717280300994357,True,3.0159730979403117
"solidarity_messages, calm_mobile_baseline",grocery_spike,99,14.754098360655737,80.8080808080808,1.895881895881896,0.05633871637634068,True,2.9896462467644516
"sentiment_improved, calm_mobile_baseline",grocery_spike,81,12.071535022354695,80.24691358024691,1.8827160493827162,0.04541789841440473,True,2.9047131147540983
"health_concern, calm_mobile_baseline",grocery_spike,137,20.417287630402384,77.37226277372264,1.8152723189219542,0.07094866971244289,True,2.5356953992596525
"high_positive_sentiment, sentiment_shift_detected",sentiment_improved,179,26.67660208643815,82.68156424581005,2.746501465789037,0.1402582172658643,False,4.035911735012737
"grocery_spike, weekend",calm_mobile_baseline,82,12.220566318926975,87.8048780487805,2.214927562809463,0.05885736749873957,False,4.9493293591654295
"sentiment_improved, solidarity_messages",high_positive_sentiment,114,16.98956780923994,78.94736842105263,2.0532435740514074,0.06880315208965865,False,2.923621460506707
calm_mobile_baseline,grocery_spike,266,39.642324888226526,83.83458646616542,1.9668883747831118,0.16337250494735042,False,3.549370949294701
grocery_spike,calm_mobile_baseline,286,42.62295081967213,77.97202797202797,1.9668883747831116,0.16337250494735042,False,2.740046838407494
"sentiment_improved, compliance_discussed",high_positive_sentiment,84,12.518628912071536,75.0,1.9505813953488371,0.04575549539024655,False,2.461997019374069
"weekend, calm_mobile_baseline",grocery_spike,87,12.965722801788376,82.75862068965517,1.9416445623342176,0.05203879699982899,False,3.327868852459016
