premise,conclusion,support,support_pct,confidence,lift,leverage,cross_domain,conviction,obviousness_penalty,stat_strength,temporal_validity,composite_score
"grocery_spike, vaccine_mentioned",calm_mobile_baseline,176,26.229508196721312,79.54545454545455,2.006578947368421,0.1046639466419095,True,2.9508196721311473,0.0,0.3933972367955594,0.5,0.4823588947182238
"grocery_spike, high_positive_sentiment",calm_mobile_baseline,103,15.350223546944855,85.43689320388349,2.155193809767136,0.0702956860881172,True,4.144560357675111,0.0,0.3762952626508306,0.5,0.4755181050603322
"health_concern, calm_mobile_baseline",grocery_spike,137,20.417287630402384,77.37226277372264,1.8152723189219544,0.0709486697124428,True,2.5356953992596525,0.2,0.17516636556837203,0.5,0.3750665462273488
"residential_increase, sentiment_improved",high_positive_sentiment,92,13.710879284649776,75.0,1.9505813953488371,0.050113161617889,True,2.461997019374069,0.0,0.05987733322468761,0.5,0.34895093328987503
"grocery_spike, sentiment_improved",high_positive_sentiment,82,12.220566318926975,75.60975609756098,1.9664397806768763,0.0454112353161973,True,2.5235469448584205,0.0,0.052487539587218426,0.5,0.34599501583488734
"high_positive_sentiment, sentiment_shift_detected",sentiment_improved,179,26.67660208643815,82.68156424581005,2.746501465789037,0.1402582172658643,False,4.035911735012737,0.2,0.7327798482714576,0.0,0.273111939308583
calm_mobile_baseline,grocery_spike,266,39.642324888226526,83.83458646616542,1.966888374783112,0.1633725049473504,False,3.549370949294701,0.4,0.7131879917142367,0.0,0.24527519668569472
"grocery_spike, weekend",calm_mobile_baseline,82,12.220566318926975,87.8048780487805,2.214927562809463,0.0588573674987395,False,4.9493293591654295,0.2,0.38578932245934067,0.0,0.13431572898373628
"sentiment_improved, solidarity_messages",high_positive_sentiment,114,16.98956780923994,78.94736842105263,2.053243574051407,0.0688031520896586,False,2.923621460506707,0.2,0.2340076788529047,0.0,0.07360307154116187
